274.54833984375+0i,1.94154742853011+0.431062241402167i
277.239990234375+0i,1.97962325286551+0.528378283928775i
279.931640625+0i,2.0263216211909+0.612383119248885i
282.623291015625+0i,2.0411367127404+0.670429332262986i
285.31494140625+0i,1.96500236613893+0.758581382307904i
288.006591796875+0i,1.90451603020258+0.76338353213028i
290.6982421875+0i,1.83723523270993+0.875657798923135i
293.389892578125+0i,1.72567900277173+0.99483824910108i
296.08154296875+0i,1.71089931199502+0.965783688599556i
298.773193359375+0i,1.67983313010396+0.999578085286238i
301.46484375+0i,1.59820074956584+1.00030553299545i
304.156494140625+0i,1.53348129233633+0.971691780297674i
306.84814453125+0i,1.53325131170507+0.965844405208853i
309.539794921875+0i,1.59111551760172+0.973923019677267i
312.2314453125+0i,1.59196315907634+1.03358878434559i
314.923095703125+0i,1.51806266757474+1.15048931090848i
317.61474609375+0i,1.48807893454139+1.1765871343255i
320.306396484375+0i,1.46572213603766+1.22880906025952i
322.998046875+0i,1.48019014214186+1.27434445878776i
325.689697265625+0i,1.39582326486262+1.27641045975817i
328.38134765625+0i,1.26358138829654+1.20343205794519i
331.072998046875+0i,1.20831006031259+1.1693064116956i
333.7646484375+0i,1.13738008732083+1.22774626492008i
336.456298828125+0i,1.07825312568541+1.1735333871534i
339.14794921875+0i,1.08659805040542+1.24955962703093i
341.839599609375+0i,1.00520085422362+1.31562341263729i
344.53125+0i,0.993702576315468+1.36704021814158i
347.222900390625+0i,0.922025621261538+1.39890320491013i
349.91455078125+0i,0.902247439636832+1.37623846670843i
352.606201171875+0i,0.807402292235147+1.40275599235641i
355.2978515625+0i,0.715446697323586+1.40630225625099i
357.989501953125+0i,0.69673268878398+1.32034296548865i
360.68115234375+0i,0.618881419782618+1.29779036503722i
363.372802734375+0i,0.54276333151796+1.25866435843808i
366.064453125+0i,0.516024762851284+1.22428850831391i
368.756103515625+0i,0.490817856276394+1.19912172714098i
371.44775390625+0i,0.427311144564974+1.11921594144891i
374.139404296875+0i,0.454179782934178+1.10992112486443i
376.8310546875+0i,0.515719572622381+1.07043320190799i
379.522705078125+0i,0.492265186723369+1.06977928020472i
382.21435546875+0i,0.474595766983406+1.05448015139302i
384.906005859375+0i,0.439972021154445+1.01883601945519i
387.59765625+0i,0.436445433486908+1.02248237379867i
390.289306640625+0i,0.427900015830397+1.04137021980456i
392.98095703125+0i,0.441478785894105+0.992753189688641i
395.672607421875+0i,0.471147072283834+0.999165750223702i
398.3642578125+0i,0.483759175892619+1.01523801804476i
401.055908203125+0i,0.489393238981859+1.08080261353788i
403.74755859375+0i,0.494657211660057+1.13851640237764i
406.439208984375+0i,0.489746905738454+1.15071736614467i
409.130859375+0i,0.492832064763554+1.20111417507239i
411.822509765625+0i,0.455724433219858+1.21088246401144i
414.51416015625+0i,0.394362935580302+1.20297415023385i
417.205810546875+0i,0.368975868506774+1.172978742203i
419.8974609375+0i,0.39979482965394+1.15193224846344i
422.589111328125+0i,0.382275035484572+1.12112009433525i
425.28076171875+0i,0.399006796325023+1.09873530869578i
