164.190673828125+0i,1.5930307248559+0i
166.88232421875+0i,1.5856732946071+0i
169.573974609375+0i,1.61902270647189+0i
172.265625+0i,1.63589752004031+0i
174.957275390625+0i,1.70879559669693+0i
177.64892578125+0i,1.72581533121719+0i
180.340576171875+0i,1.7788854346864+0i
183.0322265625+0i,1.80182082116189+0i
185.723876953125+0i,1.73592462735676+0i
188.41552734375+0i,1.76268459761578+0i
191.107177734375+0i,1.80128733915081+0i
193.798828125+0i,1.81416649955957+0i
196.490478515625+0i,1.77928418501614+0i
199.18212890625+0i,1.79496845860314+0i
201.873779296875+0i,1.79113723888939+0i
204.5654296875+0i,1.82377681591294+0i
207.257080078125+0i,1.91081622927615+0i
209.94873046875+0i,1.96254063472181+0i
212.640380859375+0i,1.90903606964601+0i
215.33203125+0i,1.86492547918388+0i
218.023681640625+0i,1.81559463509713+0i
220.71533203125+0i,1.84580276714418+0i
223.406982421875+0i,1.88800260075474+0i
226.0986328125+0i,1.91464996037594+0i
228.790283203125+0i,1.83229972468326+0i
231.48193359375+0i,1.80639811269129+0i
234.173583984375+0i,1.81940639172314+0i
236.865234375+0i,1.91497403266956+0i
239.556884765625+0i,1.9780763431372+0i
242.24853515625+0i,1.94499958506474+0i
244.940185546875+0i,1.91192894674858+0i
247.6318359375+0i,1.89924292997851+0i
250.323486328125+0i,1.86358866418404+0i
253.01513671875+0i,1.82896795624461+0i
255.706787109375+0i,1.89750346490568+0i
258.3984375+0i,1.93532900389401+0i
261.090087890625+0i,1.92113351681309+0i
263.78173828125+0i,1.91193377799503+0i
266.473388671875+0i,1.93248177338504+0i
269.1650390625+0i,2.01743195052744+0i
271.856689453125+0i,2.03053299969824+0i
274.54833984375+0i,2.0061438808724+0i
277.239990234375+0i,2.08133078941039+0i
279.931640625+0i,2.08642284207291+0i
282.623291015625+0i,2.08687064178506+0i
285.31494140625+0i,2.04199807843144+0i
288.006591796875+0i,1.98633450016815+0i
290.6982421875+0i,2.01300823721654+0i
293.389892578125+0i,2.02044231385166+0i
296.08154296875+0i,2.01212370166384+0i
298.773193359375+0i,2.01814803643726+0i
301.46484375+0i,1.91915677210624+0i
304.156494140625+0i,1.84846270913438+0i
306.84814453125+0i,1.86365993342231+0i
309.539794921875+0i,1.95972865286519+0i
312.2314453125+0i,2.04235648448063+0i
314.923095703125+0i,2.13659568604349+0i
317.61474609375+0i,2.17463005045653+0i
320.306396484375+0i,2.12872452421122+0i
322.998046875+0i,2.1810477699301+0i
325.689697265625+0i,2.12328343228319+0i
328.38134765625+0i,1.9734501825359+0i
331.072998046875+0i,1.88714125445818+0i
