60.791015625+0i,408.842124327908+4.63833779339696e-06i
61.1572265625+0i,408.842114836319+4.14720108837747e-06i
61.5234375+0i,408.842101315597+3.75810682273601e-06i
61.8896484375+0i,408.842082920606+3.6816824218475e-06i
62.255859375+0i,408.842058294731+4.03153193627944e-06i
62.6220703125+0i,408.842026514064+4.79654341361689e-06i
62.98828125+0i,408.841986481497+5.88329203995628e-06i
63.3544921875+0i,408.841937447919+7.13935679508117e-06i
63.720703125+0i,408.841878854129+8.42485919818957e-06i
64.0869140625+0i,408.841810228535+9.64025513308187e-06i
64.453125+0i,408.841730420397+1.07494957147208e-05i
64.8193359375+0i,408.841637571311+1.17942661178918e-05i
65.185546875+0i,408.841528652861+1.29059220749237e-05i
65.5517578125+0i,408.84139970439+1.43244883703038e-05i
65.91796875+0i,408.841245398292+1.633043468891e-05i
66.2841796875+0i,408.84105917602+1.92558751590934e-05i
66.650390625+0i,408.840833457183+2.34117094448204e-05i
67.0166015625+0i,408.840558674197+2.89715550112939e-05i
67.3828125+0i,408.840224683732+3.61403190266996e-05i
67.7490234375+0i,408.839818467819+4.49774405698011e-05i
68.115234375+0i,408.839324853092+5.5517020266879e-05i
68.4814453125+0i,408.838724842572+6.78740727910189e-05i
68.84765625+0i,408.837995896047+8.21686639998692e-05i
69.2138671875+0i,408.837108907766+9.87480083359213e-05i
69.580078125+0i,408.83602951759+0.000118084608556929i
69.9462890625+0i,408.834715923303+0.000140829989377192i
70.3125+0i,408.833119351374+0.000167700942797134i
70.6787109375+0i,408.831186887906+0.000199638210781632i
71.044921875+0i,408.828853884463+0.000237476571342069i
71.4111328125+0i,408.826050223667+0.000282040745798735i
71.77734375+0i,408.822706030076+0.000333838884043016i
72.1435546875+0i,408.818750531827+0.000393094171601367i
72.509765625+0i,408.814115765695+0.000459679637168392i
72.8759765625+0i,408.80873468665+0.000533001351580683i
73.2421875+0i,408.802547554058+0.000612192172535897i
73.6083984375+0i,408.795501326566+0.000696036288441747i
73.974609375+0i,408.787552593115+0.000782729349484703i
74.3408203125+0i,408.778671484162+0.000870321266166624i
74.70703125+0i,408.768843025101+0.00095669326943566i
75.0732421875+0i,408.758075606618+0.00103957443644387i
75.439453125+0i,408.746392737937+0.0011160939854329i
75.8056640625+0i,408.733842362665+0.00118395533326003i
76.171875+0i,408.720491622321+0.00124039036761017i
76.5380859375+0i,408.706426909056+0.00128317736824601i
76.904296875+0i,408.691734543394+0.00130978525310524i
77.2705078125+0i,408.676506967225+0.00131830649893771i
77.63671875+0i,408.660831075994+0.00130693820668873i
78.0029296875+0i,408.644770385017+0.00127428651460872i
78.369140625+0i,408.628368427416+0.00121856067081909i
78.7353515625+0i,408.611647392588+0.00113875651316908i
79.1015625+0i,408.594604180859+0.00103380020198204i
79.4677734375+0i,408.577213183955+0.000903105290983439i
79.833984375+0i,408.559430002443+0.000746142891042887i
80.2001953125+0i,408.541202411096+0.000563024568473714i
80.56640625+0i,408.52246696357+0.00035471967319842i
80.9326171875+0i,408.503150009994+0.000121276749005476i
81.298828125+0i,408.483169085054-0.000136102240970076i
81.6650390625+0i,408.462428609747-0.000416672512783908i
82.03125+0i,408.440803723169-0.000721151521099144i
82.3974609375+0i,408.418161256852-0.00104986137860125i
82.763671875+0i,408.394310951988-0.00140543638060178i
83.1298828125+0i,408.369047968817-0.00179110153877901i
83.49609375+0i,408.342117678125-0.00221090616869052i
83.8623046875+0i,408.313234967379-0.00267077600739098i
84.228515625+0i,408.282077422875-0.00317598170034684i
84.5947265625+0i,408.248300154452-0.0037324166863635i
84.9609375+0i,408.211529445309-0.00434629412200006i
85.3271484375+0i,408.171376853561-0.00502179812717781i
85.693359375+0i,408.127400916307-0.00576642186545637i
86.0595703125+0i,408.079175941202-0.00658407099962507i
86.42578125+0i,408.026179161909-0.00748492039546015i
86.7919921875+0i,407.967861685907-0.00847896670946377i
87.158203125+0i,407.903579282824-0.00958194573833195i
87.5244140625+0i,407.832587934483-0.0108140438605855i
87.890625+0i,407.754014987681-0.012202638924344i
88.2568359375+0i,407.666829129392-0.0137811267340157i
88.623046875+0i,407.569830850643-0.0155900514714564i
88.9892578125+0i,407.461600282529-0.0176743992477621i
89.35546875+0i,407.340471459409-0.0200860173190546i
89.7216796875+0i,407.2044971287-0.0228808252715764i
90.087890625+0i,407.05134195706-0.0261214121333552i
90.4541015625+0i,406.878274100919-0.0298707867169213i
90.8203125+0i,406.68199889136-0.0342024582761134i
91.1865234375+0i,406.458528852758-0.0391960615155792i
91.552734375+0i,406.202979678928-0.0449462808264711i
91.9189453125+0i,405.909303023275-0.0515682984027512i
92.28515625+0i,405.569944171721-0.0592076857361396i
92.6513671875+0i,405.17524772182-0.0680650530125737i
93.017578125+0i,404.713016909174-0.0783871828828141i
93.3837890625+0i,404.167236496028-0.0905306425909644i
93.75+0i,403.517071366919-0.104966536108747i
94.1162109375+0i,402.734842247648-0.122355238646407i
94.482421875+0i,401.783294093485-0.143598489020379i
94.8486328125+0i,400.611622026683-0.169958752469021i
95.21484375+0i,399.149289937187-0.203199051053602i
95.5810546875+0i,397.296706185994-0.245810351490611i
95.947265625+0i,394.909585000168-0.301395522961024i
96.3134765625+0i,391.773960952745-0.375219391288522i
96.6796875+0i,387.563476129548-0.475140116161996i
97.0458984375+0i,381.763055669758-0.613200542679126i
97.412109375+0i,373.530596830769-0.808259076046584i
97.7783203125+0i,361.433362541114-1.09051742904658i
98.14453125+0i,342.945596255857-1.50809509636037i
98.5107421875+0i,313.516674141457-2.13301527553953i
98.876953125+0i,265.253843596489-3.04452197459775i
99.2431640625+0i,187.88171784918-4.20165911268859i
99.609375+0i,86.5906892847942-5.14097827818132i
99.9755859375+0i,27.5155982467112-5.39565140431794i
100.341796875+0i,27.4146044893022-5.44287517553617i
100.7080078125+0i,27.3069138961562-5.48736332216055i
101.07421875+0i,27.191831433283-5.53247941745127i
101.4404296875+0i,27.0700483154006-5.58077578298073i
101.806640625+0i,26.9432702756817-5.63409029609547i
102.1728515625+0i,26.8137220883812-5.69291155110708i
102.5390625+0i,26.6844273429838-5.75632669440426i
102.9052734375+0i,26.5574295493409-5.82251023389308i
103.271484375+0i,26.4346469831105-5.88858536699861i
103.6376953125+0i,26.31646381326-5.95186839378322i
104.00390625+0i,26.2025001904453-6.00969329148731i
104.3701171875+0i,26.0912570719398-6.06060964654225i
104.736328125+0i,25.9805409831001-6.10395271709491i
105.1025390625+0i,25.8683829650968-6.1406188875116i
105.46875+0i,25.7529650650844-6.1724638817128i
105.8349609375+0i,25.6332011535252-6.20175663697453i
106.201171875+0i,25.5093046831403-6.23103082358379i
106.5673828125+0i,25.3821681220599-6.26231978875549i
106.93359375+0i,25.2532832679979-6.29675218832068i
107.2998046875+0i,25.1247483027437-6.33465367996026i
107.666015625+0i,24.9984140043221-6.37500161643337i
108.0322265625+0i,24.8752450139493-6.41612750797636i
108.3984375+0i,24.7555693592305-6.45596801461336i
108.7646484375+0i,24.6387760562958-6.4925105775127i
109.130859375+0i,24.5234250769427-6.52407943491867i
109.4970703125+0i,24.4079328748904-6.54990173745673i
109.86328125+0i,24.2906025144498-6.57010900536473i
110.2294921875+0i,24.1702001467383-6.58569181039658i
110.595703125+0i,24.046390644152-6.59813039736865i
110.9619140625+0i,23.9197809119898-6.60924981868536i
111.328125+0i,23.7917499086544-6.62066589653754i
111.6943359375+0i,23.6638367117135-6.63360499883799i
112.060546875+0i,23.5381049941508-6.64870188835049i
112.4267578125+0i,23.4157132539347-6.66589433011537i
112.79296875+0i,23.2972611409616-6.68449318057526i
113.1591796875+0i,23.1824755271751-6.70344633834394i
113.525390625+0i,23.0699981253001-6.72179759996662i
113.8916015625+0i,22.9580323619066-6.73861496950311i
114.2578125+0i,22.8446318826366-6.75320084259692i
114.6240234375+0i,22.7281590971622-6.76531915712289i
114.990234375+0i,22.6077443664225-6.77512591423289i
115.3564453125+0i,22.483301676212-6.78287038722299i
115.72265625+0i,22.3560252380597-6.78875089523175i
116.0888671875+0i,22.2277169030028-6.79322369087144i
116.455078125+0i,22.1005563201536-6.79625018550337i
116.8212890625+0i,21.9767029394744-6.79777882331175i
117.1875+0i,21.8576215930843-6.79745620540187i
117.5537109375+0i,21.743938376741-6.79507034011171i
117.919921875+0i,21.6351589433713-6.79034905947791i
118.2861328125+0i,21.5298769901917-6.78335351342232i
118.65234375+0i,21.4258296530638-6.77412759165937i
119.0185546875+0i,21.3206333107115-6.76323949979729i
119.384765625+0i,21.2120807177723-6.75109234889597i
119.7509765625+0i,21.0986514804801-6.73832015274093i
120.1171875+0i,20.9796171767814-6.7251738898528i
120.4833984375+0i,20.8554641363966-6.71202674695203i
120.849609375+0i,20.7277329849952-6.69880593799915i
121.2158203125+0i,20.5981709052939-6.68526357974714i
121.58203125+0i,20.469050833117-6.67121940978063i
121.9482421875+0i,20.3423023106432-6.65609623110713i
122.314453125+0i,20.2193549712518-6.63970660570999i
122.6806640625+0i,20.1007575272487-6.62182460354117i
123.046875+0i,19.9864595274434-6.60265312622612i
123.4130859375+0i,19.8756338188467-6.58221717329406i
123.779296875+0i,19.7670786752825-6.56092034884561i
124.1455078125+0i,19.6594752183558-6.53905297986775i
124.51171875+0i,19.5516122272107-6.51673415087249i
124.8779296875+0i,19.4428261584813-6.49379580155142i
125.244140625+0i,19.3327851974463-6.47009228220939i
125.6103515625+0i,19.221790569113-6.44516988644735i
125.9765625+0i,19.1104753445301-6.41847015732805i
126.3427734375+0i,18.9996050182267-6.38955697637153i
126.708984375+0i,18.8899436178929-6.35824917859264i
127.0751953125+0i,18.7821342113316-6.32445135411917i
127.44140625+0i,18.6762988163485-6.28850578147397i
