21.8696594238281+0i,411.201652496942-4.09346290095461e-08i
22.2061157226562+0i,411.201652670701-3.55503807703942e-08i
22.5425720214844+0i,411.201652859347-2.87929835943206e-08i
22.8790283203125+0i,411.201653012299-2.28134742505442e-08i
23.2154846191406+0i,411.20165310513-1.89229749281593e-08i
23.5519409179688+0i,411.201653140374-1.73434384691178e-08i
23.8883972167969+0i,411.201653128942-1.78564750379026e-08i
24.224853515625+0i,411.201653078359-2.02133880453338e-08i
24.5613098144531+0i,411.201652996486-2.41408480235385e-08i
24.8977661132812+0i,411.201652896915-2.89685279433651e-08i
25.2342224121094+0i,411.201652791708-3.40644203153784e-08i
25.5706787109375+0i,411.201652694271-3.85801407203686e-08i
25.9071350097656+0i,411.201652620929-4.16522269120352e-08i
26.2435913085938+0i,411.201652570488-4.30619760901519e-08i
26.5800476074219+0i,411.201652530147-4.35579647573129e-08i
26.91650390625+0i,411.201652479363-4.42959913323707e-08i
27.2529602050781+0i,411.201652401297-4.65788618402442e-08i
27.5894165039062+0i,411.201652300927-5.05247739515805e-08i
27.9258728027344+0i,411.201652201551-5.52732766001316e-08i
28.2623291015625+0i,411.201652131769-5.91671223666823e-08i
28.5987854003906+0i,411.201652122907-6.02518602698882e-08i
28.9352416992188+0i,411.201652198403-5.69109870366936e-08i
29.2716979980469+0i,411.2016523326-4.99888273502338e-08i
29.608154296875+0i,411.201652494533-4.13275577259492e-08i
29.9446105957031+0i,411.201652635034-3.38840948057504e-08i
30.2810668945312+0i,411.201652709745-3.03533604061394e-08i
30.6175231933594+0i,411.201652695296-3.21103709504849e-08i
30.9539794921875+0i,411.201652603129-3.82239204712924e-08i
31.2904357910156+0i,411.201652465042-4.61287317375806e-08i
31.6268920898438+0i,411.201652326464-5.25525137590533e-08i
31.9633483886719+0i,411.201652225774-5.48445754183401e-08i
32.2998046875+0i,411.201652162052-5.28317412997807e-08i
32.6362609863281+0i,411.201652105875-4.8471922604419e-08i
32.9727172851562+0i,411.201652014129-4.4997191396725e-08i
33.3091735839844+0i,411.201651851277-4.52736703343779e-08i
33.6456298828125+0i,411.201651613819-5.04621539179767e-08i
33.9820861816406+0i,411.201651366936-5.7982027954762e-08i
34.3185424804688+0i,411.201651169796-6.51021029264456e-08i
34.6549987792969+0i,411.201651105604-6.74840661557514e-08i
34.991455078125+0i,411.201651211275-6.3102131545876e-08i
35.3279113769531+0i,411.201651473911-5.22293846441977e-08i
35.6643676757812+0i,411.201651821816-3.79839809363705e-08i
36.0008239746094+0i,411.201652171442-2.38608141192805e-08i
36.3372802734375+0i,411.201652441782-1.33128379044965e-08i
36.6737365722656+0i,411.201652580198-8.34508416331254e-09i
37.0101928710938+0i,411.201652574489-9.2942689379478e-09i
37.3466491699219+0i,411.201652413014-1.69603238709093e-08i
37.68310546875+0i,411.201652091698-3.26406187766773e-08i
38.0195617675781+0i,411.201651596143-5.88948441194677e-08i
38.3560180664062+0i,411.201650905979-9.88232053219665e-08i
38.6924743652344+0i,411.201650024949-1.54296787008039e-07i
39.0289306640625+0i,411.201649013432-2.23276137486127e-07i
39.3653869628906+0i,411.201647974631-3.00428366712953e-07i
39.7018432617188+0i,411.201647013893-3.79070576425382e-07i
40.0382995605469+0i,411.20164622894-4.52198179505767e-07i
40.374755859375+0i,411.201645685294-5.13589071372975e-07i
40.7112121582031+0i,411.201645383162-5.61401693379649e-07i
41.0476684570312+0i,411.201645272808-5.97175319994606e-07i
41.3841247558594+0i,411.201645334531-6.19946233306827e-07i
41.7205810546875+0i,411.201645548681-6.2945761936294e-07i
42.0570373535156+0i,411.20164591373-6.23865194262785e-07i
42.3934936523438+0i,411.201646474784-5.97517648358113e-07i
42.7299499511719+0i,411.201647222781-5.49664920204681e-07i
43.06640625+0i,411.201648123566-4.81031218733693e-07i
43.4028625488281+0i,411.201649093378-3.97360883616875e-07i
43.7393188476562+0i,411.201650049253-3.05397737978027e-07i
44.0757751464844+0i,411.201650868195-2.16199947136201e-07i
44.4122314453125+0i,411.201651481138-1.37157709825539e-07i
44.7486877441406+0i,411.201651865028-7.20883444580266e-08i
45.0851440429688+0i,411.201652009558-2.42222457182717e-08i
45.4216003417969+0i,411.201651953219+8.70937878331735e-09i
45.758056640625+0i,411.201651738072+2.89652265286794e-08i
