38.6924743652344+0i,411.750712947515-9.22214795839924e-07i
39.0289306640625+0i,411.750712212579-1.01757633948924e-06i
39.3653869628906+0i,411.750711377708-1.14032199323789e-06i
39.7018432617188+0i,411.750710443738-1.29422332360441e-06i
40.0382995605469+0i,411.750709477614-1.46285793282314e-06i
40.374755859375+0i,411.75070851133-1.63648377800548e-06i
40.7112121582031+0i,411.750707592968-1.8002599929964e-06i
41.0476684570312+0i,411.750706755254-1.94324662487434e-06i
41.3841247558594+0i,411.75070599849-2.05424435469284e-06i
41.7205810546875+0i,411.750705320764-2.13250966433325e-06i
42.0570373535156+0i,411.750704681512-2.18855799520961e-06i
42.3934936523438+0i,411.7507040356-2.22936591209057e-06i
42.7299499511719+0i,411.750703343575-2.26281979765594e-06i
43.06640625+0i,411.75070256514-2.29936523123104e-06i
43.4028625488281+0i,411.750701657582-2.35334971732837e-06i
43.7393188476562+0i,411.750700598616-2.43173639031239e-06i
44.0757751464844+0i,411.750699379971-2.54090462312596e-06i
44.4122314453125+0i,411.750697972925-2.69115885719698e-06i
44.7486877441406+0i,411.750696395694-2.88192083358463e-06i
45.0851440429688+0i,411.750694650877-3.11400269104962e-06i
45.4216003417969+0i,411.75069277184-3.36511630419154e-06i
45.758056640625+0i,411.750690788394-3.63408208139999e-06i
46.0945129394531+0i,411.750688690881-3.92887789879893e-06i
46.4309692382812+0i,411.750686531611-4.23630517522458e-06i
46.7674255371094+0i,411.750684334709-4.5406188878381e-06i
47.1038818359375+0i,411.750682100089-4.86204470215645e-06i
47.4403381347656+0i,411.750679849406-5.17571597113669e-06i
47.7767944335938+0i,411.750677616821-5.48817942967259e-06i
48.1132507324219+0i,411.750675412801-5.8019504298953e-06i
48.44970703125+0i,411.750673208926-6.10643064935125e-06i
48.7861633300781+0i,411.750671015843-6.3916638646436e-06i
49.1226196289062+0i,411.750668773684-6.67283302761963e-06i
49.4590759277344+0i,411.750666435877-6.9628165997009e-06i
49.7955322265625+0i,411.750663877214-7.26570616900717e-06i
50.1319885253906+0i,411.750661077213-7.54424580092103e-06i
50.4684448242188+0i,411.75065782359-7.87935213858481e-06i
50.8049011230469+0i,411.75065409339-8.24710546171501e-06i
51.141357421875+0i,411.750649777765-8.67719567361888e-06i
51.4778137207031+0i,411.750644784167-9.18909744562424e-06i
51.8142700195312+0i,411.750639127707-9.80799014304887e-06i
52.1507263183594+0i,411.750632763328-1.05056544119775e-05i
52.4871826171875+0i,411.75062579939-1.12921172741355e-05i
52.8236389160156+0i,411.750618298236-1.2165393239402e-05i
53.1600952148438+0i,411.750610423363-1.3078237603606e-05i
53.4965515136719+0i,411.750602213736-1.40232827258246e-05i
53.8330078125+0i,411.75059379077-1.4993418128683e-05i
54.1694641113281+0i,411.750585241-1.59328493696179e-05i
54.5059204101562+0i,411.750576511986-1.68163191221821e-05i
54.8423767089844+0i,411.75056746498-1.76961499982946e-05i
55.1788330078125+0i,411.750557996206-1.855468565311e-05i
55.5152893066406+0i,411.750547818153-1.94223418961323e-05i
55.8517456054688+0i,411.750536652208-2.03606206981993e-05i
56.1882019042969+0i,411.750524217725-2.14089164019091e-05i
56.524658203125+0i,411.750510175047-2.26838650569106e-05i
56.8611145019531+0i,411.750494252196-2.41665928056807e-05i
57.1975708007812+0i,411.750476166369-2.59633285246502e-05i
57.5340270996094+0i,411.750455754112-2.81317188663723e-05i
57.8704833984375+0i,411.750432832484-3.05818742443349e-05i
58.2069396972656+0i,411.750407267525-3.34267640481953e-05i
58.5433959960938+0i,411.750379091588-3.65001331014811e-05i
58.8798522949219+0i,411.750348063979-3.99066142914346e-05i
59.21630859375+0i,411.750314129814-4.35279390391745e-05i
59.5527648925781+0i,411.750277151502-4.72759480320769e-05i
59.8892211914062+0i,411.750236743065-5.11614893041472e-05i
60.2256774902344+0i,411.750192410947-5.51329106713364e-05i
60.5621337890625+0i,411.750143377398-5.93690960117681e-05i
60.8985900878906+0i,411.750088685017-6.37893578753743e-05i
61.2350463867188+0i,411.750026722173-6.88457246281082e-05i
61.5715026855469+0i,411.749955908577-7.45092834637242e-05i
61.907958984375+0i,411.749873984398-8.1243643590891e-05i
62.2444152832031+0i,411.749778475417-8.9348590022683e-05i
62.5808715820312+0i,411.749666448841-9.91926219897721e-05i
62.9173278808594+0i,411.749534717319-0.000111274942255337i
63.2537841796875+0i,411.749379637654-0.000125790898942569i
63.5902404785156+0i,411.749197630921-0.000143149465105259i
63.9266967773438+0i,411.748984783292-0.000163230871629597i
64.2631530761719+0i,411.748736975122-0.000186481815452658i
64.599609375+0i,411.74844955921-0.000212738130866971i
