41.0476684570312+0i,411.664522822676-1.31345256546405e-06i
41.3841247558594+0i,411.664521560386-1.46268472174941e-06i
41.7205810546875+0i,411.664520277011-1.61116689949171e-06i
42.0570373535156+0i,411.664519012735-1.7657303305811e-06i
42.3934936523438+0i,411.664517822328-1.91426560578064e-06i
42.7299499511719+0i,411.664516701873-2.07089906157566e-06i
43.06640625+0i,411.66451567337-2.22472069388335e-06i
43.4028625488281+0i,411.664514638965-2.38559799688693e-06i
43.7393188476562+0i,411.664513595512-2.5624337621994e-06i
44.0757751464844+0i,411.664512442493-2.74058684033332e-06i
44.4122314453125+0i,411.664511136672-2.92928057045608e-06i
44.7486877441406+0i,411.664509626539-3.11670239168535e-06i
45.0851440429688+0i,411.664507862174-3.31797743128705e-06i
45.4216003417969+0i,411.664505854479-3.51941249105044e-06i
45.758056640625+0i,411.664503672905-3.70027688386909e-06i
46.0945129394531+0i,411.664501311065-3.90452239247029e-06i
46.4309692382812+0i,411.664498846786-4.08999180827043e-06i
46.7674255371094+0i,411.664496361601-4.2807624896754e-06i
47.1038818359375+0i,411.664493844549-4.48884679912569e-06i
47.4403381347656+0i,411.664491378829-4.70534533620924e-06i
47.7767944335938+0i,411.664488945528-4.95496884112386e-06i
48.1132507324219+0i,411.664486530615-5.21854332917384e-06i
48.44970703125+0i,411.66448413265-5.52092179970304e-06i
48.7861633300781+0i,411.664481709352-5.83352230582504e-06i
49.1226196289062+0i,411.664479222189-6.17781800172742e-06i
49.4590759277344+0i,411.664476644497-6.49832224056724e-06i
49.7955322265625+0i,411.664473901102-6.83143236752809e-06i
50.1319885253906+0i,411.664470954037-7.12084602765584e-06i
50.4684448242188+0i,411.664467713355-7.39057447853133e-06i
50.8049011230469+0i,411.664464083245-7.64491201064455e-06i
51.141357421875+0i,411.664459926552-7.89067903258484e-06i
51.4778137207031+0i,411.664455189049-8.14196917476969e-06i
51.8142700195312+0i,411.664449707371-8.43203640207947e-06i
52.1507263183594+0i,411.664443435595-8.77244204471865e-06i
52.4871826171875+0i,411.664436287318-9.2285757574859e-06i
52.8236389160156+0i,411.664428329274-9.77569317233472e-06i
53.1600952148438+0i,411.664419640968-1.04585801795593e-05i
53.4965515136719+0i,411.664410346396-1.12743801709997e-05i
53.8330078125+0i,411.664400705567-1.22091413187926e-05i
54.1694641113281+0i,411.664390927237-1.32031552771812e-05i
54.5059204101562+0i,411.664381237753-1.42790739003496e-05i
54.8423767089844+0i,411.664371686626-1.5406334696113e-05i
55.1788330078125+0i,411.664362272603-1.65602286577635e-05i
55.5152893066406+0i,411.664352781729-1.77155150391238e-05i
55.8517456054688+0i,411.664342847012-1.88794166316264e-05i
56.1882019042969+0i,411.664331979833-2.00794936277395e-05i
56.524658203125+0i,411.664319564252-2.14062226591652e-05i
56.8611145019531+0i,411.664305095523-2.28386285361085e-05i
57.1975708007812+0i,411.664287956529-2.44708780631725e-05i
57.5340270996094+0i,411.664267829978-2.62716284037892e-05i
57.8704833984375+0i,411.664244402228-2.82909244796426e-05i
58.2069396972656+0i,411.66421758898-3.05190952318386e-05i
58.5433959960938+0i,411.664187530671-3.2852850082025e-05i
58.8798522949219+0i,411.664154380942-3.52675729779269e-05i
59.21630859375+0i,411.664118186225-3.77712808324745e-05i
59.5527648925781+0i,411.664078950618-4.02828178083754e-05i
59.8892211914062+0i,411.664036369698-4.28928512952784e-05i
60.2256774902344+0i,411.663989897328-4.55977504274748e-05i
60.5621337890625+0i,411.66393842414-4.86190948960096e-05i
60.8985900878906+0i,411.663880412154-5.21187417492965e-05i
61.2350463867188+0i,411.663814245748-5.62746550866815e-05i
61.5715026855469+0i,411.663737861296-6.12736779332938e-05i
61.907958984375+0i,411.6636489904-6.71945542620803e-05i
62.2444152832031+0i,411.663545604827-7.41598442446639e-05i
62.5808715820312+0i,411.663425506603-8.20441431954194e-05i
62.9173278808594+0i,411.663286256253-9.09000841460522e-05i
63.2537841796875+0i,411.663125560225-0.000100362442144165i
63.5902404785156+0i,411.662940505906-0.000110463738230212i
63.9266967773438+0i,411.662727743538-0.000120799896515391i
