63.2537841796875+0i,411.127590651421-0.00058573425750904i
63.5902404785156+0i,411.127664868575-0.000654130382694963i
63.9266967773438+0i,411.127753291129-0.000734568848223307i
64.2631530761719+0i,411.127857462195-0.00083039465538832i
64.599609375+0i,411.12797892339-0.000945442738126854i
64.9360656738281+0i,411.128119613132-0.00108328318577924i
65.2725219726562+0i,411.128281646401-0.00124829591881038i
65.6089782714844+0i,411.128468324006-0.00144481471330209i
65.9454345703125+0i,411.128684257339-0.00167734603188469i
66.2818908691406+0i,411.128936260953-0.00195076475155608i
66.6183471679688+0i,411.12923345291-0.00227076118693469i
66.9548034667969+0i,411.12958837895-0.00264377685287055i
67.291259765625+0i,411.130016413072-0.00307809869877069i
67.6277160644531+0i,411.130537770558-0.00358414181204368i
67.9641723632812+0i,411.131175284339-0.00417497689783332i
68.3006286621094+0i,411.131956000963-0.00486693414552433i
68.6370849609375+0i,411.132909332807-0.0056796785734347i
68.9735412597656+0i,411.134068296143-0.00663603375009656i
69.3099975585938+0i,411.135467903625-0.00776157758632277i
69.6464538574219+0i,411.1371467718-0.00908506366853615i
69.98291015625+0i,411.139147624459-0.0106355062778713i
70.3193664550781+0i,411.141517305756-0.0124430597318628i
70.6558227539062+0i,411.144310525533-0.01453657420136i
70.9922790527344+0i,411.147593760436-0.0169481577492841i
71.3287353515625+0i,411.151446929472-0.0197118431922485i
71.6651916503906+0i,411.155955638362-0.0228544482295319i
72.0016479492188+0i,411.161212177532-0.0264018242729978i
72.3381042480469+0i,411.167312124704-0.0303746401440721i
72.674560546875+0i,411.17435236342-0.0347912194082517i
73.0110168457031+0i,411.182418205176-0.0396637180392243i
73.3474731445312+0i,411.191577593438-0.0449982627944937i
73.6839294433594+0i,411.2018724771-0.0507937546862127i
74.0203857421875+0i,411.213310400257-0.057031821147081i
74.3568420410156+0i,411.225859180456-0.0636882224870133i
74.6932983398438+0i,411.239450462379-0.070714846270017i
75.0297546386719+0i,411.253980563183-0.0780580948403597i
75.3662109375+0i,411.269318272242-0.0856450585382894i
75.7026672363281+0i,411.285320632599-0.0933970356922424i
76.0391235351562+0i,411.301838841644-0.101228689937566i
76.3755798339844+0i,411.318737699892-0.109059341009981i
76.7120361328125+0i,411.335901153065-0.116805891314048i
77.0484924316406+0i,411.353239264347-0.124402343580099i
77.3849487304688+0i,411.370692629665-0.131786801481448i
77.7214050292969+0i,411.388229069822-0.138917552868125i
78.057861328125+0i,411.405838135273-0.145751269758019i
78.3943176269531+0i,411.423521523688-0.152270575438405i
78.7307739257812+0i,411.44128662044-0.158451439694023i
79.0672302246094+0i,411.459140716704-0.164281834458199i
79.4036865234375+0i,411.477087277622-0.169760067704973i
79.7401428222656+0i,411.495124559743-0.174894252821245i
80.0765991210938+0i,411.51325612684-0.179710139620334i
