24.224853515625+0i,410.846067210335+1.23227640227913e-07i
24.5613098144531+0i,410.846067264551+7.73271698969888e-08i
24.8977661132812+0i,410.846067298545+2.24950628479269e-08i
25.2342224121094+0i,410.846067299376-3.60875969943809e-08i
25.5706787109375+0i,410.846067286317-9.82035491531389e-08i
25.9071350097656+0i,410.846067282261-1.60250662989409e-07i
26.2435913085938+0i,410.846067287144-2.24968740627755e-07i
26.5800476074219+0i,410.846067273915-2.92797535696146e-07i
26.91650390625+0i,410.846067188393-3.64389656546156e-07i
27.2529602050781+0i,410.846067010678-4.3069879047181e-07i
27.5894165039062+0i,410.846066777953-4.8179122681989e-07i
27.9258728027344+0i,410.846066607377-4.9446100533242e-07i
28.2623291015625+0i,410.846066625553-4.42661568026987e-07i
28.5987854003906+0i,410.846066852435-3.02960313115171e-07i
28.9352416992188+0i,410.846067093824-6.99899050751031e-08i
29.2716979980469+0i,410.846066954684+2.47815916376652e-07i
29.608154296875+0i,410.846065961384+6.18154951238466e-07i
29.9446105957031+0i,410.846063814771+1.00068208408287e-06i
30.2810668945312+0i,410.846060627759+1.35806763147675e-06i
30.6175231933594+0i,410.846057019961+1.66483939155159e-06i
30.9539794921875+0i,410.846053950044+1.91029757440162e-06i
31.2904357910156+0i,410.846052419328+2.08717215274985e-06i
31.6268920898438+0i,410.846052955749+2.18834119802314e-06i
31.9633483886719+0i,410.846055463555+2.18645436101743e-06i
32.2998046875+0i,410.846059160407+2.05047861814566e-06i
32.6362609863281+0i,410.846062952446+1.75394413406093e-06i
32.9727172851562+0i,410.84606585475+1.30131822161267e-06i
33.3091735839844+0i,410.846067393799+7.3836906679905e-07i
33.6456298828125+0i,410.846067703774+1.49824695997982e-07i
33.9820861816406+0i,410.846067353928-3.47348654125213e-07i
34.3185424804688+0i,410.846066974039-6.59444947654011e-07i
34.6549987792969+0i,410.846066968182-7.30724073985397e-07i
34.991455078125+0i,410.846067347459-5.52963216575891e-07i
35.3279113769531+0i,410.84606783222-1.82775304858816e-07i
35.6643676757812+0i,410.846068097366+2.94901934100692e-07i
36.0008239746094+0i,410.846067976733+7.92041284573716e-07i
36.3372802734375+0i,410.846067554068+1.22173355609847e-06i
36.6737365722656+0i,410.846067078735+1.52569772637878e-06i
37.0101928710938+0i,410.846066792249+1.6760607166762e-06i
37.3466491699219+0i,410.846066830987+1.65947222269713e-06i
37.68310546875+0i,410.846067147701+1.49573329804246e-06i
38.0195617675781+0i,410.846067586619+1.22744589546436e-06i
38.3560180664062+0i,410.846067983193+9.23717104773167e-07i
38.6924743652344+0i,410.846068267589+6.32572295976451e-07i
39.0289306640625+0i,410.846068414066+4.46366009051677e-07i
39.3653869628906+0i,410.846068472651+3.96504546119505e-07i
39.7018432617188+0i,410.846068477321+4.94880654204274e-07i
40.0382995605469+0i,410.846068451455+7.18115839744147e-07i
40.374755859375+0i,410.846068415276+1.00777642412807e-06i
40.7112121582031+0i,410.846068389054+1.30811549493787e-06i
41.0476684570312+0i,410.846068425232+1.5434410814856e-06i
41.3841247558594+0i,410.84606856153+1.67729155785268e-06i
41.7205810546875+0i,410.846068824442+1.67814672920774e-06i
42.0570373535156+0i,410.846069182906+1.55483537367429e-06i
42.3934936523438+0i,410.846069579325+1.34579080779278e-06i
42.7299499511719+0i,410.846069950476+1.11606224911874e-06i
43.06640625+0i,410.846070257289+9.52014756473655e-07i
43.4028625488281+0i,410.846070507203+9.21480544607936e-07i
43.7393188476562+0i,410.846070729436+1.10862335146385e-06i
44.0757751464844+0i,410.846070935224+1.56394335611652e-06i
44.4122314453125+0i,410.846071116446+2.29386581507335e-06i
44.7486877441406+0i,410.846071223514+3.28263235187124e-06i
45.0851440429688+0i,410.846071182547+4.50669944399278e-06i
45.4216003417969+0i,410.846070951839+5.89571730211542e-06i
45.758056640625+0i,410.846070542951+7.37373706763579e-06i
46.0945129394531+0i,410.846069998992+8.90042873454497e-06i
46.4309692382812+0i,410.846069448079+1.03919873773342e-05i
46.7674255371094+0i,410.846068971592+1.18315176614596e-05i
47.1038818359375+0i,410.84606868809+1.31397885136009e-05i
47.4403381347656+0i,410.846068635741+1.42854438284247e-05i
47.7767944335938+0i,410.8460688347+1.52157446065154e-05i
48.1132507324219+0i,410.846069303243+1.58893743602364e-05i
48.44970703125+0i,410.846070066781+1.62423891419148e-05i
48.7861633300781+0i,410.846071151151+1.62740174536016e-05i
49.1226196289062+0i,410.846072553354+1.60069756448758e-05i
49.4590759277344+0i,410.84607426507+1.54760563484418e-05i
49.7955322265625+0i,410.846076192196+1.47892644179742e-05i
50.1319885253906+0i,410.846078191988+1.41118094877886e-05i
50.4684448242188+0i,410.846080129318+1.36254765091821e-05i
50.8049011230469+0i,410.846081888146+1.35566935977162e-05i
51.141357421875+0i,410.846083389135+1.40907158863508e-05i
51.4778137207031+0i,410.846084558566+1.53661445080419e-05i
51.8142700195312+0i,410.846085260514+1.74719235912289e-05i
52.1507263183594+0i,410.846085329085+2.0329847833178e-05i
52.4871826171875+0i,410.846084575787+2.37761806894804e-05i
52.8236389160156+0i,410.846082932152+2.7568850170421e-05i
53.1600952148438+0i,410.846080658259+3.13221384961163e-05i
53.4965515136719+0i,410.846078264138+3.4812990048806e-05i
53.8330078125+0i,410.846076573171+3.77521488609801e-05i
54.1694641113281+0i,410.84607646245+4.00225010051459e-05i
54.5059204101562+0i,410.846078584931+4.1626962507581e-05i
54.8423767089844+0i,410.84608309235+4.27161081712269e-05i
55.1788330078125+0i,410.846089608002+4.36549406530453e-05i
55.5152893066406+0i,410.846097396346+4.48479784902669e-05i
55.8517456054688+0i,410.846105488799+4.68946992463404e-05i
56.1882019042969+0i,410.846113186137+5.03139907107611e-05i
56.524658203125+0i,410.846120033208+5.56342280194303e-05i
56.8611145019531+0i,410.846125988378+6.31797126968729e-05i
57.1975708007812+0i,410.846131177372+7.31095204915885e-05i
57.5340270996094+0i,410.846135783491+8.52944655901654e-05i
57.8704833984375+0i,410.846139878105+9.94605786222438e-05i
58.2069396972656+0i,410.846143483257+0.0001150994659529i
58.5433959960938+0i,410.846146668133+0.000131657313707571i
58.8798522949219+0i,410.846149657751+0.000148663444551196i
59.21630859375+0i,410.846153007076+0.000165646601922064i
59.5527648925781+0i,410.846157361269+0.000182654920746732i
59.8892211914062+0i,410.846163591144+0.000199862809921652i
60.2256774902344+0i,410.846172479273+0.00021782013336417i
60.5621337890625+0i,410.846184618531+0.000237355547845696i
60.8985900878906+0i,410.846200165815+0.000259786824918976i
61.2350463867188+0i,410.846219355087+0.000286270017051814i
61.5715026855469+0i,410.846241804102+0.000318436031150178i
61.907958984375+0i,410.84626736966+0.000357796017480412i
62.2444152832031+0i,410.846296000211+0.00040565802099348i
62.5808715820312+0i,410.846327919124+0.000463240780966953i
62.9173278808594+0i,410.846363624518+0.000531648711679682i
63.2537841796875+0i,410.846404251257+0.000611923087869161i
63.5902404785156+0i,410.846451449275+0.000704691390721183i
63.9266967773438+0i,410.846507405023+0.00081093070169137i
64.2631530761719+0i,410.84657475653+0.000931855644204408i
64.599609375+0i,410.846656355165+0.0010695492102701i
64.9360656738281+0i,410.846755890477+0.00122660172503196i
65.2725219726562+0i,410.846876959159+0.00140740182281588i
65.6089782714844+0i,410.847023594992+0.00161814736340347i
65.9454345703125+0i,410.847200687778+0.00186675185902527i
66.2818908691406+0i,410.847413339823+0.00216420995567365i
