37.3466491699219+0i,411.59998864978-2.30515049718968e-07i
37.68310546875+0i,411.599993671312-8.5718153975386e-08i
38.0195617675781+0i,411.599997187891-4.71329717025477e-09i
38.3560180664062+0i,411.599998862051+7.04083248359144e-10i
38.6924743652344+0i,411.599999008914-5.30416638180188e-08i
39.0289306640625+0i,411.599998380111-1.3028255276223e-07i
39.3653869628906+0i,411.599997749119-1.93454460101894e-07i
39.7018432617188+0i,411.599997631804-2.15567834613281e-07i
40.0382995605469+0i,411.599998103574-1.90991120502975e-07i
40.374755859375+0i,411.59999892925-1.29318816157646e-07i
40.7112121582031+0i,411.599999678825-5.42832662124781e-08i
41.0476684570312+0i,411.599999962575+8.7744965490243e-09i
41.3841247558594+0i,411.599999601179+4.1313379682006e-08i
41.7205810546875+0i,411.599998720551+4.06805204212333e-08i
42.0570373535156+0i,411.599997689213+1.98437095485858e-08i
42.3934936523438+0i,411.599996944481-2.23002235714027e-10i
42.7299499511719+0i,411.599996746599-3.94130609291347e-09i
43.06640625+0i,411.5999970184+7.95900911269529e-09i
43.4028625488281+0i,411.599997412893+2.011557425521e-08i
43.7393188476562+0i,411.599997555452+1.52974690603461e-08i
44.0757751464844+0i,411.599997315617-9.29278581194546e-09i
44.4122314453125+0i,411.599996917997-3.47542222219192e-08i
44.7486877441406+0i,411.599996772939-3.03536976233963e-08i
45.0851440429688+0i,411.599997052096+1.97838434032164e-08i
45.4216003417969+0i,411.599997463149+1.01237066673865e-07i
45.758056640625+0i,411.599997326794+1.70593957933723e-07i
46.0945129394531+0i,411.599996004587+1.81702157241392e-07i
46.4309692382812+0i,411.599993357816+1.16531102391605e-07i
46.7674255371094+0i,411.599989961863-1.19718634935829e-09i
47.1038818359375+0i,411.599986679231-1.25492474372498e-07i
47.4403381347656+0i,411.599984211964-2.17608907544027e-07i
47.7767944335938+0i,411.59998267758-2.71922527118473e-07i
48.1132507324219+0i,411.599981770616-3.03342415763998e-07i
48.44970703125+0i,411.599981328349-3.14901452600474e-07i
48.7861633300781+0i,411.599981548051-2.88301565267967e-07i
49.1226196289062+0i,411.599982807635-2.01899759323954e-07i
49.4590759277344+0i,411.599984819607-9.05801366086541e-08i
49.7955322265625+0i,411.599986105906-7.0956037651954e-08i
50.1319885253906+0i,411.599984653659-2.86894500959549e-07i
50.4684448242188+0i,411.599979342104-7.83033499321267e-07i
50.8049011230469+0i,411.599971625149-1.38696923344498e-06i
51.141357421875+0i,411.599965460207-1.71928154841024e-06i
51.4778137207031+0i,411.599964605405-1.44154723031898e-06i
51.8142700195312+0i,411.599968308078-6.03779518632163e-07i
52.1507263183594+0i,411.599968277525+8.93863196915909e-08i
52.4871826171875+0i,411.599949833426-6.26657015421124e-07i
52.8236389160156+0i,411.599898444209-4.02847564114217e-06i
53.1600952148438+0i,411.599809539338-1.05824143221224e-05i
53.4965515136719+0i,411.599695243414-1.93480344036029e-05i
53.8330078125+0i,411.599584502135-2.79401360099916e-05i
54.1694641113281+0i,411.599512201015-3.34025645438138e-05i
54.5059204101562+0i,411.599503707714-3.35151062038375e-05i
54.8423767089844+0i,411.599560292961-2.80583104933e-05i
55.1788330078125+0i,411.599655361513-1.91858750529859e-05i
55.5152893066406+0i,411.599743724813-1.07073333270586e-05i
55.8517456054688+0i,411.599781607294-6.40687905034876e-06i
56.1882019042969+0i,411.59974652649-8.32393257105695e-06i
56.524658203125+0i,411.599648132189-1.57652585627156e-05i
56.8611145019531+0i,411.599524341075-2.55826437307231e-05i
57.1975708007812+0i,411.599423414126-3.36444191796029e-05i
57.5340270996094+0i,411.599382949672-3.66625051266437e-05i
57.8704833984375+0i,411.599414687446-3.35195714509894e-05i
58.2069396972656+0i,411.599502113519-2.55375511924733e-05i
58.5433959960938+0i,411.599610480373-1.56229873405307e-05i
58.8798522949219+0i,411.599703693562-6.82942023595261e-06i
59.21630859375+0i,411.599758543524-1.11699723693092e-06i
59.5527648925781+0i,411.599770058128+1.15670406849071e-06i
59.8892211914062+0i,411.599748779303+9.70375843962786e-07i
60.2256774902344+0i,411.599710969981-1.70467411366596e-07i
60.5621337890625+0i,411.599670289857-9.84236140785469e-07i
60.8985900878906+0i,411.599632625267-8.31226391236168e-07i
61.2350463867188+0i,411.59959660605+3.12257137750909e-07i
61.5715026855469+0i,411.599556812868+2.1410758946852e-06i
