1324.2919921875+0i,0.535417763282538+0i
1326.98364257812+0i,0.51226938659275+0i
1329.67529296875+0i,0.514640301097369+0i
1332.36694335938+0i,0.503661655503345+0i
1335.05859375+0i,0.488906146176462+0i
1337.75024414062+0i,0.514959904797441+0i
1340.44189453125+0i,0.501971580362761+0i
1343.13354492188+0i,0.479375788578069+0i
1345.8251953125+0i,0.479844220095385+0i
1348.51684570312+0i,0.491853143209107+0i
1351.20849609375+0i,0.49388700973934+0i
1353.90014648438+0i,0.491054736492643+0i
1356.591796875+0i,0.502927657276548+0i
1359.28344726562+0i,0.510512049682013+0i
1361.97509765625+0i,0.512270725710385+0i
1364.66674804688+0i,0.528426944927266+0i
1367.3583984375+0i,0.540222828382951+0i
1370.05004882812+0i,0.552000794706162+0i
1372.74169921875+0i,0.557199015029707+0i
1375.43334960938+0i,0.55331929578833+0i
1378.125+0i,0.544564167366253+0i
1380.81665039062+0i,0.557773631432503+0i
1383.50830078125+0i,0.548715508002871+0i
1386.19995117188+0i,0.534914667074619+0i
1388.8916015625+0i,0.518447855893588+0i
1391.58325195312+0i,0.491544626632463+0i
1394.27490234375+0i,0.474421431791349+0i
1396.96655273438+0i,0.451866558168498+0i
1399.658203125+0i,0.442705140408269+0i
1402.34985351562+0i,0.432764859122291+0i
1405.04150390625+0i,0.414340065077091+0i
1407.73315429688+0i,0.409668122470473+0i
1410.4248046875+0i,0.412999262617475+0i
1413.11645507812+0i,0.419832079720981+0i
1415.80810546875+0i,0.420277376791402+0i
1418.49975585938+0i,0.421282815016947+0i
1421.19140625+0i,0.429676785132065+0i
1423.88305664062+0i,0.434330916986353+0i
1426.57470703125+0i,0.443247120894804+0i
1429.26635742188+0i,0.437670399783049+0i
1431.9580078125+0i,0.440839742025378+0i
1434.64965820312+0i,0.459235590277158+0i
1437.34130859375+0i,0.481794956920203+0i
1440.03295898438+0i,0.486191101358444+0i
1442.724609375+0i,0.483212153613776+0i
1445.41625976562+0i,0.490467708588483+0i
1448.10791015625+0i,0.498642377894218+0i
1450.79956054688+0i,0.491482759168774+0i
1453.4912109375+0i,0.473771511069645+0i
1456.18286132812+0i,0.463194936450734+0i
1458.87451171875+0i,0.442108740563854+0i
1461.56616210938+0i,0.421499917041609+0i
1464.2578125+0i,0.405313721908862+0i
1466.94946289062+0i,0.398273378063491+0i
1469.64111328125+0i,0.373343905231118+0i
1472.33276367188+0i,0.369597997042094+0i
1475.0244140625+0i,0.372697834067475+0i
1477.71606445312+0i,0.387349094052474+0i
1480.40771484375+0i,0.394836622330597+0i
1483.09936523438+0i,0.387791205313733+0i
1485.791015625+0i,0.385647168865889+0i
1488.48266601562+0i,0.385592083759063+0i
1491.17431640625+0i,0.377368181035406+0i
1493.86596679688+0i,0.379741062182959+0i
1496.5576171875+0i,0.393409896670143+0i
1499.24926757812+0i,0.398894828402921+0i
1501.94091796875+0i,0.418715669623797+0i
1504.63256835938+0i,0.421669102540544+0i
1507.32421875+0i,0.418905189984709+0i
1510.01586914062+0i,0.420160553938622+0i
1512.70751953125+0i,0.419814061674122+0i
1515.39916992188+0i,0.423592043057331+0i
1518.0908203125+0i,0.438274597254613+0i
1520.78247070312+0i,0.475669560962562+0i
1523.47412109375+0i,0.471942364153686+0i
1526.16577148438+0i,0.465051913501527+0i
1528.857421875+0i,0.443040889279219+0i
1531.54907226562+0i,0.44729767979912+0i
1534.24072265625+0i,0.446335520330326+0i
1536.93237304688+0i,0.436490844842473+0i
1539.6240234375+0i,0.418412447667175+0i
1542.31567382812+0i,0.425731009554537+0i
1545.00732421875+0i,0.422914237819166+0i
1547.69897460938+0i,0.422883035297712+0i
1550.390625+0i,0.414565588958694+0i
1553.08227539062+0i,0.42437729056893+0i
1555.77392578125+0i,0.428270958446297+0i
1558.46557617188+0i,0.428235761853533+0i
1561.1572265625+0i,0.423398237367888+0i
1563.84887695312+0i,0.426781506584167+0i
1566.54052734375+0i,0.426170972091542+0i
1569.23217773438+0i,0.420144672875394+0i
1571.923828125+0i,0.422531127338872+0i
1574.61547851562+0i,0.435459208695349+0i
1577.30712890625+0i,0.443386608029648+0i
1579.99877929688+0i,0.432711133480966+0i
1582.6904296875+0i,0.43094541081769+0i
1585.38208007812+0i,0.431352918461971+0i
1588.07373046875+0i,0.434468672668062+0i
1590.76538085938+0i,0.442086788417607+0i
1593.45703125+0i,0.44208059733613+0i
1596.14868164062+0i,0.442339593462522+0i
1598.84033203125+0i,0.449117624248008+0i
1601.53198242188+0i,0.465932787468496+0i
1604.2236328125+0i,0.466963329656672+0i
1606.91528320312+0i,0.475043235129475+0i
1609.60693359375+0i,0.476516570633744+0i
1612.29858398438+0i,0.459999231795082+0i
1614.990234375+0i,0.464636327114494+0i
1617.68188476562+0i,0.469889415274665+0i
1620.37353515625+0i,0.467405706936917+0i
1623.06518554688+0i,0.447342003357424+0i
1625.7568359375+0i,0.442594568753548+0i
1628.44848632812+0i,0.448796565773961+0i
1631.14013671875+0i,0.460995835106074+0i
1633.83178710938+0i,0.439309909097713+0i
