100.936889648438+0i,17.8174771829235+9.86152269001156i
101.273345947266+0i,17.8285668558681+9.78160399777983i
101.609802246094+0i,17.8437174742187+9.72088753932865i
101.946258544922+0i,17.8629501893737+9.68402974514211i
102.28271484375+0i,17.8855813056153+9.67141864398527i
102.619171142578+0i,17.9111436433958+9.68036869748899i
102.955627441406+0i,17.9391684472241+9.70447708653252i
103.292083740234+0i,17.9688158081067+9.73613770658651i
103.628540039062+0i,17.9991784828036+9.76703711263864i
103.964996337891+0i,18.0291326377428+9.78962147327564i
104.301452636719+0i,18.0573200048013+9.79858031220677i
104.637908935547+0i,18.0820601311673+9.79120190216888i
104.974365234375+0i,18.1018250104157+9.76784628816273i
105.310821533203+0i,18.1149718252305+9.73159927073264i
105.647277832031+0i,18.1203150810284+9.68762980714114i
105.983734130859+0i,18.1173182480915+9.64211992564396i
106.320190429688+0i,18.106291901078+9.60117842567286i
106.656646728516+0i,18.0884702115302+9.56995193259932i
106.993103027344+0i,18.0658470633989+9.55176261292629i
107.329559326172+0i,18.0411959063926+9.54788922284976i
107.666015625+0i,18.0177779220103+9.55773040821643i
108.002471923828+0i,17.9986329828309+9.57868020953046i
108.338928222656+0i,17.9866359557727+9.60705418558665i
108.675384521484+0i,17.9837672247639+9.63839763955385i
109.011840820312+0i,17.9909964358242+9.66845419101082i
109.348297119141+0i,18.0079031949566+9.69302128534371i
109.684753417969+0i,18.0330150012597+9.70908727884814i
110.021209716797+0i,18.063714385799+9.71459650969279i
110.357666015625+0i,18.0966111411962+9.70847259264108i
110.694122314453+0i,18.1280906756777+9.69110079001184i
111.030578613281+0i,18.1546714983742+9.66345274617654i
111.367034912109+0i,18.1735002802153+9.62761315139374i
111.703491210938+0i,18.1827525271408+9.58598604114627i
112.039947509766+0i,18.1817303348515+9.5416711472788i
112.376403808594+0i,18.1706752331109+9.49745473903203i
112.712860107422+0i,18.1510657216527+9.45630534426295i
113.04931640625+0i,18.1249556415602+9.42070272888079i
113.385772705078+0i,18.0949580938183+9.39255908555157i
113.722229003906+0i,18.0635801397468+9.37315544951768i
114.058685302734+0i,18.0332588629358+9.36279576267803i
114.395141601562+0i,18.0057938509671+9.3606902901982i
114.731597900391+0i,17.9824448892224+9.36536457434291i
115.068054199219+0i,17.9636873866989+9.37434814168702i
115.404510498047+0i,17.9493527263014+9.38505784495437i
115.740966796875+0i,17.9386352615106+9.39471776090528i
116.077423095703+0i,17.9302266538157+9.40099638954247i
116.413879394531+0i,17.9226693566239+9.40225123349265i
116.750335693359+0i,17.914222739724+9.39777081270311i
117.086791992188+0i,17.903522276538+9.38810747491009i
117.423248291016+0i,17.889227918864+9.37443057243886i
117.759704589844+0i,17.8705754070104+9.35904713287596i
118.096160888672+0i,17.8470739361296+9.34397867808173i
118.4326171875+0i,17.8187373404259+9.33138839083401i
118.769073486328+0i,17.7862221345644+9.32274775355216i
119.105529785156+0i,17.7501023010923+9.31849200342599i
119.441986083984+0i,17.711506539437+9.31797919859495i
119.778442382812+0i,17.6714556722581+9.31965971086666i
120.114898681641+0i,17.6308645565743+9.32130107019948i
120.451354980469+0i,17.590497330298+9.32032934322445i
120.787811279297+0i,17.5506843922844+9.31442943147805i
121.124267578125+0i,17.5116604513489+9.30191571401424i
121.460723876953+0i,17.4732804082446+9.28211319344176i
121.797180175781+0i,17.4350807504321+9.2555332837986i
122.133636474609+0i,17.3966314485587+9.22383769816012i
122.470092773438+0i,17.3577304484008+9.18932731615278i
122.806549072266+0i,17.3183673586994+9.1550889242208i
123.143005371094+0i,17.2789223912147+9.12378405962131i
123.479461669922+0i,17.2402596574107+9.09781528750015i
123.81591796875+0i,17.2035654944681+9.07857361703568i
124.152374267578+0i,17.1703171788365+9.06650339917187i
124.488830566406+0i,17.1420368483788+9.06089902072422i
124.825286865234+0i,17.1200698033072+9.06015571108148i
125.161743164062+0i,17.1052257641238+9.06213520376182i
125.498199462891+0i,17.0977410469853+9.06460132169891i
125.834655761719+0i,17.0969175816354+9.06550941193045i
126.171112060547+0i,17.1013870633577+9.06360152941571i
126.507568359375+0i,17.1091582359503+9.05832555746774i
126.844024658203+0i,17.1175428063557+9.05014075278225i
127.180480957031+0i,17.123906286344+9.04022408181756i
127.516937255859+0i,17.1258355192636+9.03028326291094i
127.853393554688+0i,17.121210032234+9.02221016105948i
128.189849853516+0i,17.1089160182886+9.01760883421013i
