13.1217956542969+0i,410.411508575324-7.07784690603641e-08i
13.458251953125+0i,410.411508457012-8.76932451959663e-08i
13.7947082519531+0i,410.411509122882-8.75049520486455e-08i
14.1311645507812+0i,410.411510407306-6.74933569580577e-08i
14.4676208496094+0i,410.411511803074-3.55703149251443e-08i
14.8040771484375+0i,410.41151266327-8.09396733473148e-09i
15.1405334472656+0i,410.411512437713-4.4745411305733e-09i
15.4769897460938+0i,410.411510958201-3.70742258782277e-08i
15.8134460449219+0i,410.411508566028-1.03838164244034e-07i
16.14990234375+0i,410.411505986839-1.87492948830589e-07i
16.4863586425781+0i,410.411504102923-2.60349470756135e-07i
16.8228149414062+0i,410.411503568046-2.96662837417401e-07i
17.1592712402344+0i,410.411504564579-2.82871547983979e-07i
17.4957275390625+0i,410.411506751122-2.23699749858586e-07i
17.8321838378906+0i,410.411509387064-1.40463057769348e-07i
18.1686401367188+0i,410.411511618658-6.24337191993265e-08i
18.5050964355469+0i,410.411512800178-1.47388775955208e-08i
18.841552734375+0i,410.411512713541-8.55579554234015e-09i
19.1780090332031+0i,410.411511604285-3.79296681166272e-08i
19.5144653320312+0i,410.411510058252-8.36747514861198e-08i
19.8509216308594+0i,410.411508743554-1.22799404288776e-07i
20.1873779296875+0i,410.411508150986-1.38585812821448e-07i
20.5238342285156+0i,410.411508469393-1.25611486477918e-07i
20.8602905273438+0i,410.411509497251-9.20039042311723e-08i
21.1967468261719+0i,410.411510840745-5.20284315774696e-08i
21.533203125+0i,410.411512024958-2.10540170423085e-08i
21.8696594238281+0i,410.411512740682-7.56336048218459e-09i
22.2061157226562+0i,410.411512901788-1.17002260646428e-08i
22.5425720214844+0i,410.411512652504-2.65259425705493e-08i
22.8790283203125+0i,410.411512253131-4.25303529991276e-08i
23.2154846191406+0i,410.411511946781-5.23106352151049e-08i
23.5519409179688+0i,410.411511870874-5.25362537824293e-08i
23.8883972167969+0i,410.411511995581-4.56102076078096e-08i
24.224853515625+0i,410.411512224375-3.53945525234431e-08i
24.5613098144531+0i,410.411512428015-2.63589138225161e-08i
24.8977661132812+0i,410.411512538006-2.07039929004076e-08i
25.2342224121094+0i,410.411512562931-1.84263380278796e-08i
25.5706787109375+0i,410.41151256092-1.77974201858274e-08i
25.9071350097656+0i,410.41151256447-1.76840085625502e-08i
26.2435913085938+0i,410.411512557997-1.78012719381698e-08i
26.5800476074219+0i,410.411512472911-1.90011687555201e-08i
26.91650390625+0i,410.411512224798-2.22269950520588e-08i
27.2529602050781+0i,410.411511786137-2.73737154364737e-08i
27.5894165039062+0i,410.411511190141-3.35158911238091e-08i
27.9258728027344+0i,410.411510546924-3.88800354107068e-08i
28.2623291015625+0i,410.411509999536-4.1627674273892e-08i
28.5987854003906+0i,410.411509667927-4.09820260775601e-08i
28.9352416992188+0i,410.411509592969-3.76626333928367e-08i
29.2716979980469+0i,410.411509773231-3.24452746617683e-08i
29.608154296875+0i,410.411510138326-2.66991153724064e-08i
29.9446105957031+0i,410.411510598766-2.14638617111495e-08i
30.2810668945312+0i,410.411511071612-1.78229453038145e-08i
30.6175231933594+0i,410.411511459802-1.78173679522138e-08i
30.9539794921875+0i,410.411511664598-2.5169829154237e-08i
31.2904357910156+0i,410.411511600154-4.37249982045432e-08i
31.6268920898438+0i,410.411511223007-7.63291520622762e-08i
31.9633483886719+0i,410.411510540612-1.22855675047767e-07i
32.2998046875+0i,410.411509635693-1.78886563111539e-07i
32.6362609863281+0i,410.411508661057-2.36572715092482e-07i
32.9727172851562+0i,410.411507779099-2.86239773971517e-07i
33.3091735839844+0i,410.411507136997-3.19171294434617e-07i
33.6456298828125+0i,410.411506789832-3.31507588593929e-07i
33.9820861816406+0i,410.411506740637-3.23012322423812e-07i
34.3185424804688+0i,410.411506950435-2.9557442694654e-07i
34.6549987792969+0i,410.411507352807-2.55530117401176e-07i
