36.0008239746094+0i,415.304364434997-4.16126494475416e-08i
36.3372802734375+0i,415.304364567071-4.08596475471138e-08i
36.6737365722656+0i,415.304364748509-4.00936229378964e-08i
37.0101928710938+0i,415.304364924663-4.34918300556668e-08i
37.3466491699219+0i,415.304365073037-5.29426657057802e-08i
37.68310546875+0i,415.304365211668-6.51518784847968e-08i
38.0195617675781+0i,415.304365352219-7.47229941365322e-08i
38.3560180664062+0i,415.30436547593-7.73466469995268e-08i
38.6924743652344+0i,415.304365545646-7.13447979537309e-08i
39.0289306640625+0i,415.304365517627-5.90125838319927e-08i
39.3653869628906+0i,415.304365368352-4.5589060262532e-08i
39.7018432617188+0i,415.30436512388-3.57417031463292e-08i
40.0382995605469+0i,415.304364844189-3.12267470765894e-08i
40.374755859375+0i,415.304364602367-3.19027705021515e-08i
40.7112121582031+0i,415.304364464789-3.46919494225945e-08i
41.0476684570312+0i,415.304364468797-3.62548962389424e-08i
41.3841247558594+0i,415.304364608307-3.38482088423458e-08i
41.7205810546875+0i,415.304364846831-2.73182334283579e-08i
42.0570373535156+0i,415.304365128455-1.80726703021665e-08i
42.3934936523438+0i,415.304365367288-1.02541191008045e-08i
42.7299499511719+0i,415.304365527995-4.91864773668128e-09i
43.06640625+0i,415.304365598703-2.37143553128811e-09i
43.4028625488281+0i,415.304365612845-2.89880334384246e-10i
43.7393188476562+0i,415.304365610978+3.37475445638008e-09i
44.0757751464844+0i,415.304365592919+7.58372757304721e-09i
44.4122314453125+0i,415.304365510428+8.25105315408543e-09i
44.7486877441406+0i,415.304365298206+3.9034417420183e-09i
45.0851440429688+0i,415.30436495864-2.96032499607723e-09i
45.4216003417969+0i,415.304364572018-2.21192915898551e-09i
45.758056640625+0i,415.304364288801+1.84324556033336e-08i
46.0945129394531+0i,415.304364172988+6.31346228738215e-08i
46.4309692382812+0i,415.304364115668+1.20616898992332e-07i
46.7674255371094+0i,415.304363848705+1.66928949903553e-07i
47.1038818359375+0i,415.304363119758+1.80004919181423e-07i
47.4403381347656+0i,415.304361932596+1.58667516332394e-07i
47.7767944335938+0i,415.304360646009+1.28944307170349e-07i
48.1132507324219+0i,415.304359785893+1.28103663305093e-07i
48.44970703125+0i,415.304359700147+1.72964730930547e-07i
48.7861633300781+0i,415.30436002286+2.25566090933351e-07i
