11.7759704589844+0i,412.121108615356-6.85868294079008e-05i
12.1124267578125+0i,412.121180195706-0.000100085129010142i
12.4488830566406+0i,412.121317907617-0.000164573811256395i
12.7853393554688+0i,412.121589254728-0.000287784919079342i
13.1217956542969+0i,412.122119997393-0.000508832621343241i
13.458251953125+0i,412.123127652416-0.000882667951276221i
13.7947082519531+0i,412.124947896917-0.00148204240302118i
14.1311645507812+0i,412.128033255159-0.00239874518881129i
14.4676208496094+0i,412.133008971251-0.00377488234295685i
14.8040771484375+0i,412.140727704357-0.00583403969547032i
15.1405334472656+0i,412.152160109963-0.00886310816219453i
15.4769897460938+0i,412.168424676603-0.013242220428007i
15.8134460449219+0i,412.190823767806-0.0194536858894164i
16.14990234375+0i,412.22097270049-0.0281061403222238i
16.4863586425781+0i,412.261105996056-0.0399680473331988i
16.8228149414062+0i,412.314703067706-0.0560745280804599i
17.1592712402344+0i,412.387733117531-0.0779483121468863i
17.4957275390625+0i,412.491219475536-0.108119785708917i
17.8321838378906+0i,412.64698761338-0.151295231782054i
18.1686401367188+0i,412.902164773917-0.217313732992423i
18.5050964355469+0i,413.372109225968-0.329724984283131i
18.841552734375+0i,414.399357140866-0.556889745531392i
19.1780090332031+0i,417.394171584892-1.1743322970134i
19.5144653320312+0i,434.01621157502-4.45127465947182i
19.8509216308594+0i,-2369.80949625019-2535.33551082231i
20.1873779296875+0i,-2640.09385594447-2525.30469724088i
20.5238342285156+0i,-2853.69272233716-2564.6142911215i
20.8602905273438+0i,-2987.69610733274-2672.87571384632i
21.1967468261719+0i,-3022.23896801084-2848.09689500588i
21.533203125+0i,-2949.67884794773-3060.3082218898i
21.8696594238281+0i,-2788.64068609734-3264.67037104656i
22.2061157226562+0i,-2584.24187225639-3425.36228426812i
22.5425720214844+0i,-2390.8444096321-3533.67136963254i
22.8790283203125+0i,-2251.97156354477-3602.47755493892i
23.2154846191406+0i,-2193.16817476503-3651.74978436402i
23.5519409179688+0i,-2224.12329544572-3694.05477892921i
23.8883972167969+0i,-2345.02085161779-3730.17816466399i
24.224853515625+0i,-2544.94620253108-3748.9360952996i
24.5613098144531+0i,-2800.8520504087-3733.6670470699i
24.8977661132812+0i,-3075.17501696688-3674.23432515641i
25.2342224121094+0i,-3325.60395279947-3577.20103254857i
25.5706787109375+0i,-3519.66703430906-3468.08670083958i
25.9071350097656+0i,-3645.81073698988-3380.15784033102i
26.2435913085938+0i,-3713.02790733358-3340.37684280297i
26.5800476074219+0i,-3740.67365164191-3364.16993022209i
26.91650390625+0i,-3751.37603736893-3456.66384570313i
27.2529602050781+0i,-3765.03203347681-3618.64010589908i
27.5894165039062+0i,-3797.30857195011-3849.15870989651i
27.9258728027344+0i,-3860.92746294462-4147.59332590177i
28.2623291015625+0i,-3963.7984786286-4509.94215509697i
28.5987854003906+0i,-4109.74276145718-4924.04379072114i
28.9352416992188+0i,-4294.93086510408-5361.53266833067i
29.2716979980469+0i,-4507.05504325765-5773.08110986714i
29.608154296875+0i,-4719.01050403154-6092.2729701418i
29.9446105957031+0i,-4892.34720871356-6255.48551624879i
30.2810668945312+0i,-4988.84216272913-6233.63062471339i
30.6175231933594+0i,-4991.93370984823-6048.93909742066i
30.9539794921875+0i,-4916.73286817798-5762.22173909657i
31.2904357910156+0i,-4803.66204536594-5441.20805633786i
31.6268920898438+0i,-4698.41440665411-5135.79121965587i
31.9633483886719+0i,-4638.42431826822-4873.45517930526i
32.2998046875+0i,-4647.4918098208-4661.56582110022i
32.6362609863281+0i,-4736.14913588881-4494.85004305691i
32.9727172851562+0i,-4902.85024217876-4361.53259596107i
33.3091735839844+0i,-5132.82749135511-4248.44090075087i
33.6456298828125+0i,-5396.3129606638-4148.48542529352i
33.9820861816406+0i,-5651.96899635191-4067.92250013967i
34.3185424804688+0i,-5854.27634225614-4027.73088970163i
34.6549987792969+0i,-5962.81039949257-4055.70595244629i
34.991455078125+0i,-5952.44763218569-4169.77709616662i
35.3279113769531+0i,-5817.83618546013-4365.0154408984i
35.6643676757812+0i,-5577.17815898868-4613.20026443714i
36.0008239746094+0i,-5273.33165581545-4878.59053161258i
36.3372802734375+0i,-4965.69003174503-5138.25341202335i
36.6737365722656+0i,-4716.80281209099-5390.15939291519i
37.0101928710938+0i,-4582.57771409195-5648.28031163207i
